업종명,종목명,number
조선,동방선기,291
조선,HSD엔진,291
조선,상상인인더스트리,291
조선,인화정공,291
조선,한국카본,291
조선,대우조선해양,291
조선,STX중공업,291
조선,현대중공업,291
조선,삼영엠텍,291
조선,STX엔진,291
조선,케이프,291
조선,대양전기공업,291
조선,오리엔탈정공,291
조선,케이에스피,291
조선,세진중공업,291
조선,삼성중공업,291
조선,일승,291
조선,한라IMS,291
조선,한국조선해양,291
조선,삼성중공우,291
조선,현대미포조선,291
조선,삼영이엔씨,291
조선,삼강엠앤티,291
조선,에스앤더블류,291
조선,메디콕스,291
건설,삼일기업공사,279
건설,태영건설우,279
건설,현대건설,279
건설,특수건설,279
건설,희림,279
건설,금화피에스시,279
건설,동아지질,279
건설,남화토건,279
건설,삼성엔지니어링,279
건설,삼부토건,279
건설,동부건설,279
건설,한미글로벌,279
건설,아이에스동서,279
건설,GS건설,279
건설,남광토건,279
건설,태영건설,279
건설,대우건설,279
건설,현대건설우,279
건설,한신공영,279
건설,코오롱글로벌우,279
건설,신세계건설,279
건설,DL이앤씨,279
건설,일진파워,279
건설,금호건설우,279
건설,DL건설,279
건설,HDC현대산업개발,279
건설,서한,279
건설,금호건설,279
건설,진흥기업,279
건설,자이에스앤디,279
건설,계룡건설,279
건설,코리아에스이,279
건설,동부건설우,279
건설,일성건설,279
건설,SGC이테크건설,279
건설,에쓰씨엔지니어링,279
건설,신원종합개발,279
건설,DL이앤씨2우(전환),279
건설,우원개발,279
건설,KCC건설,279
건설,DL이앤씨우,279
건설,서희건설,279
건설,삼호개발,279
건설,HJ중공업,279
건설,화성산업,279
건설,KD,279
건설,유신,279
건설,성도이엔지,279
건설,동원개발,279
건설,도화엔지니어링,279
건설,웰크론한텍,279
건설,HDC,279
건설,한라,279
건설,코오롱글로벌,279
건설,동신건설,279
건설,KT서브마린,279
건설,세보엠이씨,279
건설,HDC랩스,279
건설,대원,279
건설,진흥기업우B,279
건설,상지카일룸,279
건설,진흥기업2우B,279
건설,웰크론,279
건설,우진아이엔에스,279
건설,범양건영,279
건설,한국종합기술,279
건설,이엔코퍼레이션,279
건설,그린플러스,279
건설,국보디자인,279
건설,한양이엔지,279
건설,까뮤이앤씨,279
건설,셀루메드,279
무역회사와판매업체,GS글로벌,334
무역회사와판매업체,포스코인터내셔널,334
무역회사와판매업체,STX,334
무역회사와판매업체,현대코퍼레이션,334
무역회사와판매업체,LX인터내셔널,334
에너지장비및서비스,비에이치아이,295
에너지장비및서비스,수산인더스트리,295
에너지장비및서비스,에스에너지,295
에너지장비및서비스,태웅,295
에너지장비및서비스,현대에너지솔루션,295
에너지장비및서비스,씨에스윈드,295
에너지장비및서비스,유니슨,295
에너지장비및서비스,KG케미칼,295
에너지장비및서비스,대한그린파워,295
에너지장비및서비스,SDN,295
에너지장비및서비스,파루,295
에너지장비및서비스,비디아이,295
에너지장비및서비스,서남,295
에너지장비및서비스,플래스크,295
에너지장비및서비스,오르비텍,295
에너지장비및서비스,제이씨케미칼,295
에너지장비및서비스,윌링스,295
에너지장비및서비스,지엔원에너지,295
에너지장비및서비스,스페코,295
에너지장비및서비스,에코바이오,295
에너지장비및서비스,SGC에너지,295
에너지장비및서비스,대명에너지,295
전기장비,지투파워,306
전기장비,현대일렉트릭,306
전기장비,효성중공업,306
전기장비,제룡전기,306
전기장비,LS,306
전기장비,대한광통신,306
전기장비,제룡산업,306
전기장비,대원전선우,306
전기장비,LS,306
전기장비,대한전선,306
전기장비,선도전기,306
전기장비,제일전기공업,306
전기장비,세명전기,306
전기장비,대원전선,306
전기장비,이화전기,306
전기장비,지엔씨에너지,306
전기장비,LS전선아시아,306
전기장비,보성파워텍,306
전기장비,비나텍,306
전기장비,비츠로테크,306
전기장비,광명전기,306
전기장비,KBI메탈,306
전기장비,서전기전,306
전기장비,범한퓨얼셀,306
전기장비,일진홀딩스,306
전기장비,일진전기,306
전기장비,피앤씨테크,306
전기장비,가온전선,306
철강,세아제강,304
철강,세아제강지주,304
철강,휴스틸,304
철강,대한제강,304
철강,한국선재,304
철강,동국제강,304
철강,경남스틸,304
철강,대호특수강,304
철강,화인베스틸,304
철강,TCC스틸,304
철강,CS홀딩스,304
철강,조선선재,304
철강,DSR제강,304
철강,삼현철강,304
철강,KG스틸,304
철강,대창스틸,304
철강,원일특강,304
철강,한국특강,304
철강,동일제강,304
철강,KG,304
철강,대호특수강우,304
철강,부국철강,304
철강,한국철강,304
철강,POSCO홀딩스,304
철강,하이스틸,304
철강,고려제강,304
철강,한국주강,304
철강,현대제철,304
철강,동국산업,304
철강,세아베스틸지주,304
철강,세아특수강,304
철강,한일철강,304
철강,동국S&C,304
철강,동일산업,304
철강,휴먼엔,304
철강,영흥,304
철강,KISCO홀딩스,304
철강,문배철강,304
철강,동일철강,304
철강,대동스틸,304
철강,광진실업,304
철강,유에스티,304
철강,동양철관,304
철강,만호제강,304
철강,세아홀딩스,304
철강,제이스코홀딩스,304
철강,NI스틸,304
철강,금강철강,304
철강,SHD,304
철강,한국주철관,304
철강,포스코엠텍,304
철강,동양에스텍,304
철강,아주스틸,304
가스유틸리티,대성에너지,312
가스유틸리티,경동도시가스,312
가스유틸리티,한국가스공사,312
가스유틸리티,지에스이,312
가스유틸리티,인천도시가스,312
가스유틸리티,예스코홀딩스,312
가스유틸리티,SK가스,312
가스유틸리티,E1,312
가스유틸리티,한진중공업홀딩스,312
가스유틸리티,삼천리,312
가스유틸리티,서울가스,312
가스유틸리티,대성홀딩스,312
항공화물운송과물류,KCTC,326
항공화물운송과물류,CJ대한통운,326
항공화물운송과물류,유수홀딩스,326
항공화물운송과물류,세방,326
항공화물운송과물류,한진,326
항공화물운송과물류,삼일,326
항공화물운송과물류,국보,326
항공화물운송과물류,동방,326
항공화물운송과물류,세방우,326
항공화물운송과물류,현대글로비스,326
항공화물운송과물류,한익스프레스,326
항공화물운송과물류,인터지스,326
항공화물운송과물류,한솔로지스틱스,326
기계,태광,299
기계,성광벤드,299
기계,하이록코리아,299
기계,아스플로,299
기계,디케이락,299
기계,케이피에프,299
기계,비엠티,299
기계,디와이피엔에프,299
기계,현대건설기계,299
기계,우진플라임,299
기계,나인테크,299
기계,두산에너빌리티,299
기계,넥스턴바이오,299
기계,SNT에너지,299
기계,원방테크,299
기계,TPC,299
기계,흥국,299
기계,에이비프로바이오,299
기계,강원에너지,299
기계,화천기계,299
기계,엔케이,299
기계,혜인,299
기계,디와이파워,299
기계,수산중공업,299
기계,알에스오토메이션,299
기계,두산밥캣,299
기계,부스타,299
기계,현대엘리베이,299
기계,동일금속,299
기계,씨에스베어링,299
기계,나라엠앤디,299
기계,대창솔루션,299
기계,대창단조,299
기계,SIMPAC,299
기계,진성티이씨,299
기계,CNT85,299
기계,참존글로벌,299
기계,한국정밀기계,299
기계,뉴로스,299
기계,현대에버다임,299
기계,와이지-원,299
기계,한국테크놀로지,299
기계,아세아텍,299
기계,대모,299
기계,기신정기,299
기계,큐로,299
기계,현대로템,299
기계,조광ILI,299
기계,영풍정밀,299
기계,에이프로젠,299
기계,디와이,299
기계,화성밸브,299
기계,에이치케이,299
기계,이엠코리아,299
기계,테라사이언스,299
기계,화천기공,299
기계,포메탈,299
기계,KC그린홀딩스,299
기계,서암기계공업,299
기계,3S,299
기계,광림,299
기계,자비스,299
기계,이엔플러스,299
기계,대동,299
기계,TYM,299
기계,에스엠코어,299
기계,현대두산인프라코어,299
기계,코윈테크,299
기계,EV수성,299
기계,KC코트렐,299
기계,에이테크솔루션,299
기계,티에스넥스젠,299
기계,로보스타,299
기계,에너토크,299
기계,우림피티에스,299
기계,티에스아이,299
기계,에쎈테크,299
기계,한신기계,299
기계,에스피시스템스,299
기계,스맥,299
기계,해성티피씨,299
기계,파라텍,299
기계,휴림로봇,299
기계,삼익THK,299
기계,우진,299
기계,로보티즈,299
기계,코메론,299
기계,프리엠스,299
기계,에스에프에이,299
기계,대동기어,299
기계,신진에스엠,299
기계,레인보우로보틱스,299
기계,유일로보틱스,299
다각화된소비자서비스,이상네트웍스,339
건축자재,동화기업,289
건축자재,조광페인트,289
건축자재,동양파일,289
건축자재,노루홀딩스우,289
건축자재,KCC,289
건축자재,LX하우시스,289
건축자재,한일홀딩스,289
건축자재,KH,289
건축자재,벽산,289
건축자재,노루페인트,289
건축자재,동양2우B,289
건축자재,한솔홈데코,289
건축자재,한일시멘트,289
건축자재,일신석재,289
건축자재,KCC글라스,289
건축자재,삼일씨엔에스,289
건축자재,LX하우시스우,289
건축자재,이건산업,289
건축자재,부산산업,289
건축자재,라이온켐텍,289
건축자재,아세아시멘트,289
건축자재,쌍용C&E,289
